Legal Entity,Trading Name / Service,Service Type,CQC Regulated?,CQC Location ID / Note,Phone,Postcode,Client Status,Conflict Of Interest Note
Scodef Ltd,Scodef Care (Scodef Ltd),Domiciliary Care,Yes,1-5612767910 https://www.cqc.org.uk/location/1-5612767910,02086629278,BR5 3QB,Lead,
Sunnyside Domicilary Support Services Limited,Sunnyside Domicilliary Support Services Limited,Domiciliary Care,Yes,1-210091055 https://www.cqc.org.uk/location/1-210091055,01689638236,BR5 1NA,Lead,
Care UK Care Services Limited,Foxbridge House,Nursing Home,Yes,1-19896801657 https://www.cqc.org.uk/location/1-19896801657,01689850393,BR6 7FB,Lead,
Care UK Community Partnerships Ltd,Foxbridge House,Nursing Home,Yes,1-651388922 https://www.cqc.org.uk/location/1-651388922,03333210926,BR6 7FB,Lead,
Diagrama Healthcare Services Limited,Cabrini House 1 (Diagrama Healthcare),Residential Care,Yes,1-1875164088 https://www.cqc.org.uk/location/1-1875164088,01689891401,BR6 9LB,Lead,
Diagrama Healthcare Services Limited,Cabrini House 2 (Diagrama Healthcare),Residential Care,Yes,1-2315394292 https://www.cqc.org.uk/location/1-2315394292,01689891401,BR6 9LB,Lead,
Diagrama Healthcare Services Limited,Cabrini House 3 (Diagrama Healthcare),Residential Care,Yes,1-1875185341 https://www.cqc.org.uk/location/1-1875185341,01689891401,BR6 9LB,Lead,
Care With You Ltd,Care With You Ltd,Domiciliary Care,Yes,1-28254409596 https://www.cqc.org.uk/location/1-28254409596,07412050550,BR6 9DL,Lead,
Chislehurst Homecare Partnership Limited,Chislehurst Homecare Partnership,Domiciliary Care,Yes,1-145353745 https://www.cqc.org.uk/location/1-145353745,07484734525,BR6 7DB,Lead,
Compassion Home Care Limited,Compassion Home Care Limited,Domiciliary Care,Yes,1-883936252 https://www.cqc.org.uk/location/1-883936252,01689825155,BR6 0HH,Lead,
Day to Day Care Limited,Day to Day Care Limited,Domiciliary Care,Yes,1-2890688735 https://www.cqc.org.uk/location/1-2890688735,01689897774,BR6 0NQ,Lead,
Gracious Care (Holdings) Limited,Gracious Care,Domiciliary Care,Yes,1-9775304484 https://www.cqc.org.uk/location/1-9775304484,01689854747,BR6 7AA,Lead,
Highlands Care Ltd,Highlands Care Ltd,Domiciliary Care,Yes,1-10153383469 https://www.cqc.org.uk/location/1-10153383469,07931325755,BR6 0HP,Lead,
Holden Park Care Limited,Holden Park Care Ltd,Domiciliary Care,Yes,1-19890854195 https://www.cqc.org.uk/location/1-19890854195,07969300090,BR6 7SE,Lead,
Lolad UK Limited,LOLAD UK LIMITED,Domiciliary Care,Yes,1-19553422650 https://www.cqc.org.uk/location/1-19553422650,07539646386,BR6 9XQ,Lead,
Pentacare Services Ltd,PentaCare (Bromley & Orpington),Domiciliary Care,Yes,1-20295584066 https://www.cqc.org.uk/location/1-20295584066,01732905405,BR6 0HQ,Lead,
Diagrama Healthcare Services Limited,Diagrama Supported Living,Supported Living,Yes,1-10631728583 https://www.cqc.org.uk/location/1-10631728583,01689891401,BR6 9LB,Lead,
Polish Citizens Committee Housing Association Limited,Antokol,Nursing Home,Yes,1-110197479 https://www.cqc.org.uk/location/1-110197479,02084678102,BR7 6PE,Lead,
Mills Family Limited,Fallowfield,Nursing Home,Yes,1-119778726 https://www.cqc.org.uk/location/1-119778726,02084672781,BR7 6LQ,Lead,
The Royal Masonic Benevolent Institution Care Company,Prince George Duke of Kent Court,Nursing Home,Yes,1-2600586559 https://www.cqc.org.uk/location/1-2600586559,02084670081,BR7 6PA,Lead,
Mission Care Management,Willett House,Nursing Home,Yes,1-21881097238 https://www.cqc.org.uk/location/1-21881097238,02084028224,BR7 6LT,Lead,
Agincare Enable Limited,56 High Street,Residential Care,Yes,1-25565901359 https://www.cqc.org.uk/location/1-25565901359,01305825500,BR7 5AQ,Lead,
Bupa Care Homes (CFChomes) Limited,Elmstead Care Home,Residential Care,Yes,1-130120365 https://www.cqc.org.uk/location/1-130120365,02084670007,BR7 5EL,Lead,
Mills Family Limited,Fairlight,Residential Care,Yes,1-9405286125 https://www.cqc.org.uk/location/1-9405286125,02039171523,BR7 6LL,Lead,
Chislehurst Healthcare Ltd,Chislehurst Healthcare Ltd,Domiciliary Care,Yes,1-11188426198 https://www.cqc.org.uk/location/1-11188426198,08006894171,BR7 5AE,Lead,
Midshires Care Limited,Helping Hands Bromley,Domiciliary Care,Yes,1-2647984594 https://www.cqc.org.uk/location/1-2647984594,02081507514,BR7 5DW,Lead,
Melburay Ltd,Melburay Ltd,Domiciliary Care,Yes,1-8788300774 https://www.cqc.org.uk/location/1-8788300774,02037311088,BR7 6NR,Lead,
Livit Investment Limited,Responsive-Care,Domiciliary Care,Yes,1-12142424006 https://www.cqc.org.uk/location/1-12142424006,02045240368,BR7 6TG,Lead,
Yourlife Management Services Limited,Yourlife (Chislehurst),Domiciliary Care,Yes,1-6468086698 https://www.cqc.org.uk/location/1-6468086698,02082951251,BR7 5FT,Lead,
Oakland Opco B Limited,Birchwood Heights Care Home,Nursing Home,Yes,1-13137147535 https://www.cqc.org.uk/location/1-13137147535,01322947055,BR8 7BT,Lead,
Hextable Care Limited,Emerson Grange,Nursing Home,Yes,1-5600613464 https://www.cqc.org.uk/location/1-5600613464,01233224040,BR8 7FP,Lead,
Barchester Healthcare Homes Limited,Elderwood House,Residential Care,Yes,1-28412199722 https://www.cqc.org.uk/location/1-28412199722,,BR8 7SG,Lead,
Scarborough Hall Limited,Elderwood House,Residential Care,Yes,1-28165708692 https://www.cqc.org.uk/location/1-28165708692,,BR8 7SG,Lead,
Gravity Care Services Ltd,Gravity Care Services Ltd,Domiciliary Care,Yes,1-12292063139 https://www.cqc.org.uk/location/1-12292063139,,BR8 8AP,Lead,
Lauriem Complete Care Limited,Lauriem White Oak Court (EC),Domiciliary Care,Yes,1-27376556091 https://www.cqc.org.uk/location/1-27376556091,07710096175,BR8 7WF,Lead,
Parisse Care Consulting Limited,Parisse Care Consulting Limited,Domiciliary Care,Yes,1-11718784147 https://www.cqc.org.uk/location/1-11718784147,07877579670,BR8 7BU,Lead,
Penkz Limited,Penkz Limited – Swanley Branch,Domiciliary Care,Yes,1-27709483819 https://www.cqc.org.uk/location/1-27709483819,02033450344,BR8 8EE,Lead,
Bramley Health Limited,The Willows Care Home,Nursing Home,Yes,1-28255365145 https://www.cqc.org.uk/location/1-28255365145,,DA1 5LZ,Lead,
West Hill Care Home LTD,West Hill Care Home,Nursing Home,Yes,1-10556813199 https://www.cqc.org.uk/location/1-10556813199,,DA1 2GA,Lead,
Choice Support,Chapel Hill,Residential Care,Yes,1-15199313045 https://www.cqc.org.uk/location/1-15199313045,01322553201,DA1 4BY,Lead,
Shakti Lodge,Shakti Lodge,Residential Care,Yes,1-7331960808 https://www.cqc.org.uk/location/1-7331960808,01322288070,DA1 3HR,Lead,
Liaise (London) Limited,St James House,Residential Care,Yes,1-1724927101 https://www.cqc.org.uk/location/1-1724927101,01322600510,DA1 2DX,Lead,
Liaise (London) Limited,St James Mews,Residential Care,Yes,1-1724927443 https://www.cqc.org.uk/location/1-1724927443,01322600511,DA1 2ED,Lead,
HBC 2021 Limited,The Bridge Care Home,Residential Care,Yes,1-18665449965 https://www.cqc.org.uk/location/1-18665449965,07928962593,DA1 5FW,Lead,
2Dees Ltd,2Dees Ltd,Domiciliary Care,Yes,1-15013335780 https://www.cqc.org.uk/location/1-15013335780,,DA1 5NZ,Lead,
5C's Professionals Agency Ltd,5C's Professionals Agency,Domiciliary Care,Yes,1-22156266811 https://www.cqc.org.uk/location/1-22156266811,07796238426,DA1 5TU,Lead,
Optimal Care Concept Limited,69 Burroughs Drive Dartford,Domiciliary Care,Yes,1-15827017990 https://www.cqc.org.uk/location/1-15827017990,07853453332,DA1 5TW,Lead,
Agape Medical Health Care Ltd,Agape Medical Health Care Ltd,Domiciliary Care,Yes,1-19286339766 https://www.cqc.org.uk/location/1-19286339766,01322473312,DA1 2JH,Lead,
South Eastern Solutions Limited,Angelus Homecare - Dartford,Domiciliary Care,Yes,1-13449471430 https://www.cqc.org.uk/location/1-13449471430,,DA1 2EL,Lead,
Athlone Care Ltd,Athlone Care,Domiciliary Care,Yes,1-437637829 https://www.cqc.org.uk/location/1-437637829,01322274747,DA1 1RX,Lead,
Atman Care LTD,Atman Care,Domiciliary Care,Yes,1-11673633571 https://www.cqc.org.uk/location/1-11673633571,07732686770,DA1 1XR,Lead,
Austen Allen Healthcare Limited,Austen Allen Homecare - Dartford,Domiciliary Care,Yes,1-224723136 https://www.cqc.org.uk/location/1-224723136,01322424558,DA1 1BX,Lead,
Banner House Support Services Limited,Banner House Support Services,Domiciliary Care,Yes,1-24126018850 https://www.cqc.org.uk/location/1-24126018850,01322518241,DA1 5FS,Lead,
Beersheba Social Care Services Limited,Beersheba Social Care Services Limited,Domiciliary Care,Yes,1-8373713405 https://www.cqc.org.uk/location/1-8373713405,07422666759,DA1 1DZ,Lead,
Bethal Manna Care Ltd,Bethal Manna Care Ltd,Domiciliary Care,Yes,1-7060366080 https://www.cqc.org.uk/location/1-7060366080,07790581289,DA1 5FS,Lead,
Bojetcares Services Ltd,Bojetcares Services Ltd,Domiciliary Care,Yes,1-27762327115 https://www.cqc.org.uk/location/1-27762327115,07492473432,DA1 5SP,Lead,
Capstone Helpers Limited,Caremark (Bexley),Domiciliary Care,Yes,1-18073564402 https://www.cqc.org.uk/location/1-18073564402,01322946393,DA1 4SL,Lead,
CaringHeart Homecare Ltd,CaringHeart Homecare LTD,Domiciliary Care,Yes,1-8938884643 https://www.cqc.org.uk/location/1-8938884643,07908530056,DA1 5XF,Lead,
Chameleon Care Limited,Chameleon Care (Dartford),Domiciliary Care,Yes,1-355646797 https://www.cqc.org.uk/location/1-355646797,01322291000,DA1 5FS,Lead,
Chime Care Limited,Chime Care Limited,Domiciliary Care,Yes,1-16380703575 https://www.cqc.org.uk/location/1-16380703575,02080499776,DA1 1DZ,Lead,
City Support Limited,City Support Limited,Domiciliary Care,Yes,1-12752280719 https://www.cqc.org.uk/location/1-12752280719,07735348038,DA1 5DQ,Lead,
Dunamis Consultancy Ltd,Dunamis Consultancy Ltd,Domiciliary Care,Yes,1-16429710087 https://www.cqc.org.uk/location/1-16429710087,01322475021,DA1 5GA,Lead,
Dvanguard Ltd,Dvanguard Ltd,Domiciliary Care,Yes,1-16371469110 https://www.cqc.org.uk/location/1-16371469110,02034880500,DA1 4SL,Lead,
Ever Diamond Care Ltd.,Ever Diamond Care Ltd.,Domiciliary Care,Yes,1-14574864416 https://www.cqc.org.uk/location/1-14574864416,01322272354,DA1 4AP,Lead,
Femack Training and Recruitment Consultancy Ltd,Femack Training and Recruitment Consultancy Ltd,Domiciliary Care,Yes,1-3299990523 https://www.cqc.org.uk/location/1-3299990523,01322839371,DA1 4SB,Lead,
Figtree Care Services Ltd,Figtree Care Services Ltd,Domiciliary Care,Yes,1-1054132568 https://www.cqc.org.uk/location/1-1054132568,01322314878,DA1 5FS,Lead,
HD2 Care Support Services Ltd,HD2-1,Domiciliary Care,Yes,1-1471584623 https://www.cqc.org.uk/location/1-1471584623,07951593767,DA1 4RB,Lead,
Haven Solutionz Ltd,Haven Solutionz Ltd.,Domiciliary Care,Yes,1-12069439966 https://www.cqc.org.uk/location/1-12069439966,02080506039,DA1 1BX,Lead,
Midshires Care Limited,Helping Hands Dartford,Domiciliary Care,Yes,1-5684305301 https://www.cqc.org.uk/location/1-5684305301,01322921343,DA1 2DE,Lead,
Here to Care Limited,Here2Care (Dartford),Domiciliary Care,Yes,1-120065835 https://www.cqc.org.uk/location/1-120065835,01322225513,DA1 5BU,Lead,
Integral Focus Ltd,Integral Focus Support and Care Services (Kent),Domiciliary Care,Yes,1-21477754309 https://www.cqc.org.uk/location/1-21477754309,02031500065,DA1 1HD,Lead,
